"title","location","jobType","description"
"Group Sales Account Executive Sports with MSG Sports","New York, NY","Ticket Sales and Services: Ticket Sales","We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law. Summary: The Group Sales Account Executive generates revenue utilizing aggressive and targeted outbound efforts primarily focusing on New York Knicks and New York Rangers, with an emphasis heavily weighted towards group sales initiatives.  The role is full-menu and encouraged to engage and sell various MSG related products across multiple business verticals.  The Account Executive role also takes on additional responsibility within helping the overall department exceed our sales goals. Functions: •      Meet and exceed all revenue and tickets sold goals assigned•      Consistently create, complete and close new and renewal business appointments with key decision makers and group leaders•      Proactively pursue new and renewal business opportunities through defined primary and secondary activities, while consistently exceeding daily and weekly assigned goals•      Execute industry best practice sales and service techniques, as provided by MSG sales leadership•      Dedicate time to develop professional sales skillsets with MSG sales leadership, and identify opportunities for accelerated development outside of predetermined sessions with management•      Leverage sales accelerating technology and tools provided to increase overall efficiency and production•      Effectively manage and track all sales, inventory adjustments, activity, plus client and prospect interaction and attempted interaction through proper databases and systems provided database systems•      Provide excellent customer service to all MSG patrons, including but not limited to positive responses and opportunities to enhance the guest experience•      Effectively work select MSG related events including but not limited to sales tables, hosting prospects, strengthening relationships, providing excellent customer service, and much more. •      When warranted, manage sales presence and process at external events such as tradeshows and public appearances•      Foster positive working relationships and results within department, company, and client base by living our company values of respect, teamwork, creativity, excellence and a passion to serve.•      All other duties identified by management"
"Part-Time Security  with Florida Panthers Hockey Club","Sunrise, FL","Facility Operations/Event Staff: Security","
Last Updated: February 2020
Job Title: Part-Time Security 
Department: Security
Reports To: Director, Security
FLSA: Non-Exempt
Employment Type: Part-Time
Location: BB&T Center Essential Functions: ·          Coordinating various deliveries·         Controlling and Monitoring security cameras·         Monitoring exterior doors to the building and maintaining a secure environment for our visitors·         Controlling guest/vendors access to the Arena·         Ensure all areas are kept professionally and cleanly during shift·         Follow safety and security policies, programs and procedures·         Ability to handle the telephone and speak openly and professionally·         Ability to manage crisis situations in the event of emergency and fire·         Work with al department to ensure the building’s needs are met·         Other duties as assigned·         Must conduct building security checks of all floors during 8-hour shift·         Mostly evening 3 pm – 11 pm and overnight 11 pm – 7 am Qualifications:·          Previous experience is a must·         Passion to work with people and willingness to learn·         Excellent interpersonal, organizational, written and verbal communication skills·         Detail‐oriented, team player, professional demeanor and assertive·         Degree of self‐motivation and ability to work alone if necessary·         Must have a flexible schedule and be available on weekend/overnights·         Customer service experience·         Reliable transportation·         Punctual and dependable individual with a positive attitude·         Applicant must possess a valid Florida Class D Security License·         Must pass background check Work Environment:This position works in an arena where the noise level is generally high, crowd traffic is heavy, temperatures are variable – often cold; lights are bright or dark with occasional exposure to flashing lights and pyrotechnics.  
Physical Demands:
Climbing - Ascending or descending ladders, stairs, scaffolding, ramps, poles and the like, using feet and legs and/or hands and arms. Body agility is emphasized. This factor is important if the amount and kind of climbing required exceeds that required for ordinary locomotion. Balancing - Maintaining body equilibrium to prevent falling and walking, standing or crouching on narrow, slippery, or erratically moving surfaces. This factor is important if the amount of balancing exceeds that needed for ordinary locomotion and maintenance of body equilibrium.
 Stooping - Bending body downward and forward by bending spine at the waist. This factor is important if it occurs to a considerable degree and requires full motion of the lower extremities and back muscles. Kneeling - Bending legs at knee to come to a rest on knee or knees.
 Reaching - Extending hand(s) and arm(s) in any direction.
 Standing - Particularly for sustained periods of time. Walking - Moving about on foot to accomplish tasks, particularly for long distances or moving from one work site to another. Pushing - Using upper extremities to press against something with steady force in order to thrust forward, downward or outward.
 Pulling - Using upper extremities to exert force in order to draw, haul or tug objects in a sustained motion.
 Lifting - Raising objects up to 30 pounds from a lower to a higher position or moving objects horizontally from position-to-position. This factor is important if it occurs to a considerable degree and requires substantial use of upper extremities and back muscles.
 Talking - Expressing or exchanging ideas by means of the spoken word. Those activities in which they must convey detailed or important spoken instructions to other workers accurately, loudly, or quickly.
 Hearing - Perceiving the nature of sounds at normal speaking levels with or without correction. Ability to receive detailed information through oral communication, and to make the discriminations in sound. Position Type/Expected Hours of Work:This is a Part-Time position. Must be able to work flexible hours including evenings, weekends and occasional holidays. 
 We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, creed, gender, gender identity or expression, age, national origin or ancestry, citizenship, disability, sexual orientation, marital status, pregnancy, veteran status, membership in the uniformed services, genetic information, or any other basis protected by applicable law."
"RS3 Turf Grounds and Construction Positions with RS3 Turf ","Round Rock , TX","Facility Operations/Event Staff: Conversion Crew","If you are looking for a great employer and have turf management or construction background specific to sports fields, feel free to submit in your resume. We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law. "
"BallPark Seasonal-Ground Crew with Cincinnati Reds","Cincinnati, OH","Facility Operations/Event Staff: Grounds Crew/Turf Management","Grounds Crew - Cincinnati Reds (Cincinnati, OH)Posted: 12/02/2019Expires: 03/31/2020Part Time SeasonalBase Salary: $  10.50 per hourTotal Compensation: $  10.50 per hourCategory: Ballpark Operations, Grounds Crew Department: Ballpark OperationsJob Title: Grounds CrewReports To: Grounds Crew Supervisor
Essential Duties and Responsibilities:• Follow directions.• Must be able to think and work quickly in pressure situations and in adverse weather conditions.• Carry out daily duties without direct supervision.• Ability to trouble shoot situations and solve problems quickly.• Must interact clearly and professionally with staff, supervisors, contractors and public.Ideal candidate will possess the following:• Ability to work long and irregular hours including nights, weekends and holidays.• Ability to work the entire event including pre and post-game activities.• Ability to walk, stand, for the entire event ( 5-7 hours)• Must have strong verbal and written communication skills. Ability to read, speak and comprehend English. Will collaborate effectivey with others to produce results.• Ability to hear, comprehend and disseminate instructions and vital information especially in the event of emergencies. Will maintain a positive attitude under pressure.• Must be able to lift, carry and transport large boxes and items in excess of 25 pounds
A requirement of the position is that you must be able to work at least three (3) weekend days each month during the 2020 season. Expectations:• Adhere to Cincinnati Reds Organization Policies and Procedures• Act as a role model within and outside the Cincinnati Reds Organization• Performs duties as workload necessitates• Demonstrate flexible and efficient time management and ability to prioritize workload• Meet Department productivity standards Please Note:• This is a seasonal opportunity and no benefits will be provided• Seasonal Grounds Crew are paid $10.50 per hour• This position is outdoors and subject to weather conditions and requires standing on concrete for long periods of time as well as an extensive amount of walking and climbing stepsImportant things to know BEFORE you apply:Any offer of employment is contingent upon satisfactory completion of a background investigation. Accordingly, you may be required to complete the Cincinnati Reds application forms and other such documentation as may be necessary to comply with the Fair Credit Reporting Act. Pursuant to Major League Baseball, and in accordance with applicable law, you may be required to submit to a drug screen prior to and during your employment.To be considered for employment for the above position applicants must meet the following minimum requirements:• Must be at least 18 years of age.• Must have a High school Diploma or GED.• Must be available to work a minimum of 48 home games during the 2020 season which includes days, nights, weekends and holidays. A 2020 schedule can be found at www.reds.com Disclaimer:The statements herein are intended to describe the general nature and level of work being performed by the employee in this position. The above description is only a summary of the typical functions of the job, not an exhaustive or comprehensive list of all possible job responsibilities, tasks, and duties. Additional duties, as assigned, may become part of the job function. The duties listed above is, therefore, a partial representation not intended to be an exhaustive list of all responsibilities, duties, and skills required of a person in this position.Equal Employment Opportunity Policy StatementThe Company is an Equal Opportunity Employer. Equal opportunity for employment and/or promotion is open to any person who possesses the requisite qualifications for an open position. The Company policy is that there should be no discrimination on the basis of age, gender, race, color, religion, national origin, disability, veteran status, or any other legally protected status, with regard to employment, job assignment, and promotion or other terms or conditions of employment "
"Production Associate with State College Spikes","University Park Â· PA","Internship: Internship","The State College Spikes, Class-A Short-Season affiliate of the St. Louis Cardinals, are currently searching for enthusiastic, knowledgeable and hard-working Production Associates for the upcoming 2020 baseball season. These positions will assist in planning, producing, and executing all elements of âThe Showâ for all Penn State University and State College Spikes baseball games held at Medlar Field at Lubrano Park.Job DescriptionEach associate will work with the Director of In-Game Entertainment and Production Assistants to assist in game-day production duties for the State College Spikes and Penn State Baseball.Â  Responsibilities include organizing, planning, and executing all game-day events and fulfilling all game-day production needs.Â  Associates will fill the roles of Director, Technical Director, Camera Operator, Graphics Operator, Replay Operator, Videoboard Content Operator and More.Benefits for AssociatesAssociates will learn all facets of game-day entertainment and production and have a chance to gain experience in both a collegiate and professional sports setting.Â  Associates will learn to work in a fast-paced and demanding environment, while also enjoying the excitement of working with both Penn State and the Cardinals organization. This position has helped serve as a springboard for many into a full-time career in sports production, entertainment and more.Skills NeededAssociates will learn all facets of game-day entertainment and production and have a chance to gain experience in both a collegiate and professional sports setting.Â  Associates will learn to work in a fast-paced and demanding environment, while also enjoying the excitement of working with both Penn State and the Cardinals organization. This position has helped serve as a springboard for many into a full-time career in sports production, entertainment and more.Specific ExpectationsAssociates are expected to commit to working Penn State home baseball games from March to mid-May and Spikes home games from mid-June until mid-September with some exceptions made."
"Parking Lot Attendant (Part Time) with Trail Drive Management Corp.","Fort Worth, TX","Facility Operations/Event Staff: Parking Operations","
Parking Lot Attendant (Part-Time) Trail Drive Management Corp. – Dickies Arena of Fort Worth, TX Dickies Arena is a 14,000 seat, spectacular multipurpose venue located adjacent to the Will Rogers Memorial Center campus in Fort Worth, Texas. The arena will be owned by the City of Fort Worth and managed by the not-for-profit operating entity, Trail Drive Management Corp (TDMC). The state-of-the-art arena hosts concerts, sporting events and family entertainment, and will be the new home to Fort Worth Stock Show rodeo performances.Classification: Part-Time/Non-Exempt   Department: ParkingReports to: Assistant Parking Manager  Job Description: The Parking Attendant is the first and last impression of Dickies Arena and visitors to the surrounding Cultural District.  They will manage the efficient ingress and egress into the parking lots.  Attendants will perform duties within the parking lots, entrances and interior streets accessing the Arena. Essential Functions Reasonable accommodations may be made to enable individuals with disabilities to perform the essential duties. Manage the ingress and egress of vehicle traffic at assigned access points on the exterior of the building.
Safely and efficiently flag cars into assigned parking lots and efficiently load the parking lots in an effective manner.
Ensure all vehicles are properly split and parked by vehicle permit.
Provide set-up and break down of signage and traffic management equipment around the exterior of the arena, to include freeways, intersections and interior road, in compliance with the traffic management program.
Respond to all requests for vehicle assistance and contact the appropriate personnel to facilitate the service.
Other duties as deemed necessary or as directed.

Position Type/Expected Hours of WorkPositions will be based on the daily parking requirements needed to facilitate a consistent traffic management program.  These positions are demand based which can alter the shift days and hours from week to week.   Additional Eligibility Qualifications
Proven customer services experience, preferably in a service industry.
Must be a positive, outgoing and able to work well with others.
Proven experience dealing with conflicts and issue resolution.
Demonstrated sound organizational, coordinating and personal interface skills.
Excellent verbal and written communications skills.
Professional appearance required.
Proven job reliability, diligence, dedication and attention to detail.
Must be flexible with working nights, weekends, and holidays.
Must be able to stand for long periods of time.
Ability to move, lift and place equipment weighing up to 30 lbs.
 Other DutiesPlease note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice
We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law. "
"Parking Lot Cashier (Part Time) with Trail Drive Management Corp.","Fort Worth, TX","Facility Operations/Event Staff: Parking Operations","
Parking Lot Cashier (Part-Time) Trail Drive Management Corp. – Dickies Arena of Fort Worth, TX Dickies Arena is a 14,000 seat, spectacular multipurpose venue located adjacent to the Will Rogers Memorial Center campus in Fort Worth, Texas. The arena will be owned by the City of Fort Worth and managed by the not-for-profit operating entity, Trail Drive Management Corp (TDMC). The state-of-the-art arena hosts concerts, sporting events and family entertainment, and will be the new home to Fort Worth Stock Show rodeo performances.Classification: Part-Time/Non-Exempt   Department: ParkingReports to: Assistant Parking Manager  Job Description: The Parking Lot Cashier is our first and last impression of the Dickies Arena and visitors to the surrounding Cultural District.  The position will manage the efficient ingress into assigned arena parking lots.  Cashiers will perform duties within the entrances of the parking lots accepting either payment for parking access or verifying pre-purchased permits via a fee computer or handheld device. Essential Functions Reasonable accommodations may be made to enable individuals with disabilities to perform the essential duties. Provide customer service to guests as they enter/exit the parking locations.
Quickly and efficiently process payment transactions via either cash, credit or pre-paid parking permits.
Responsible for all vehicles that enter the parking location through your identified lane.
Assist guests with directions to other locations or quickest entry points to the facility.
Ensure all vehicles are properly parked by vehicle permit.
Provide set-up and break down of signage and traffic management equipment around the assigned parking location, in compliance with the traffic management program.
Other duties as deemed necessary or as directed.

 Position Type/Expected Hours of WorkPositions will be based on the daily parking requirements needed to facilitate a consistent traffic management program.  These positions are demand based which can alter the shift days and hours from week to week.   Additional Eligibility Qualifications
Proven customer services experience, preferably in a service industry.
Previous cashier experience or strong math skills.
Comfortable around cashiering environment.
Must be a positive, outgoing and able to work well with others.
Proven experience dealing with conflicts and issue resolution.
Demonstrated sound organizational, coordinating and personal interface skills.
Excellent verbal and written communications skills.
Professional appearance required.
Proven job reliability, diligence, dedication and attention to detail.
Must be flexible with working nights, weekends, and holidays.
Must be able to stand for long periods of time.
Ability to move, lift and place equipment weighing up to 30 lbs.
 Other DutiesPlease note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law. "
"Sr. Account Executive Premium Sales with MSG Sports","New York, NY","Ticket Sales and Services: Premium/Suite Sales","ROLE SUMMARY:The Senior Account Executive Premium Hospitality Sales is responsible for selling MSG Club Suites and Premium Seating products on multi-year, annual, and single rental basis. The Senior Account Executive Premium Hospitality Sales will be required to meet with and sell to all appropriate contacts at various companies interested in suite and premium seating products.
SPECIFIC FUNCTIONS:
working closely with Hospitality Sales & Service
entertain current and prospective clients at various sporting and entertainment events in order to build and maintain relationships, close deals and generate revenue
QUALIFICATIONS:
Personal Management Skills Tremendous communication and presentation skills 
Ability to achieve high volumes of prospective outreach on a daily basis 
Ability to work well within a team setting 
Ability to network and create relationships at senior levels of major corporations 
Sales pipeline creation and management 
Consistently live the company values 
The ideal candidate will be respectful, will be creative, and will have a commitment to excellence and a passion to serve 

Technical/Functional Competencies Experience in a fast paced sales environment.
Outstanding negotiating skills.
CRM management
Ability to improvise and think on your feet.

Key Experiences/Achievements At least 3-5 years' experience in selling to top level executives
Experience in negotiating.
Experience working in a fast-paced, multi-faceted organization.

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law. "
"Account Executive with MSG Sports","New York, NY","Ticket Sales and Services: Ticket Sales","We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.  The Account Executive Season Subscription Sales is responsible for selling season subscription and partial season subscription plans for MSG’s three sports franchises – the Knicks, the Rangers and the Liberty. Account Executive will maximize subscriptions revenues for MSG Sports franchises through year-round direct sales efforts to obtain new subscription and partial subscription accounts as well as develop new streams of revenue through creative interpretation of company assets or potential new assets, programs or events. In addition, the Account Executive will execute sales plans and generate revenues for other specific MSG sports and entertainment properties, particularly ""VIP"" programs.  The ideal candidate will have experience in a sales environment, preferably within the sports or entertainment industry. The candidate will be expected to maximize revenue generation through year round direct sales efforts to sell season subscription and partial season subscription plans. The candidate will also be expected to cultivate new business opportunities and new revenue streams through the creative use of marketing, promotions, special events; etc. Must have familiarity and skill in handling client service issues as well as managing affairs with potential new corporate, group, and personal clients from the general public. Strong relationship building abilities and communication skills a must. Ability to operate specific ticketing and database management systems a plus. Technical proficiency with PC’s, MS Office (Excel, & Power Point) is required. "
"Event Server with J&S Concessions","Birmingham, AL","Food and Beverage: Server/Concessions","EVENT SERVERJob Title:                               Event ServerReports To:                          Director of Catering Department:                       Parkview CateringEmployee Type:                 SeasonalStatus Type:                         Part-TimeFLSA:                                     Non-ExemptCompensation:                   Hourly rate Rate Range:                         $8.50/hourJob Summary:It is our goal to make our guests’ experience at Regions Field as pleasant and enjoyable as possible. To achieve this, our employees need to be professional, courteous, pleasant, reliable, dependable and well groomed. Our employees should be willing to go above and beyond to help make our guests feel welcome and always have a smile on their face. Essential Functions:We are looking for enthusiastic servers to provide excellent customer service to our patrons.  An Events Server will preset and run buffets and plated dinners, ensure that tables are served properly, removes dinnerware from the table in a timely manner and ensure that all work areas are well –maintained and clean before departure. The ideal candidate will possess a positive attitude and the ability work well under pressure with bussers, cooks and other staff. 
Responsibilities: -Excellent customer service while maintaining the highest standards of quality and cleanliness-Strong communication and problem solving skills -High attention to detail -Ability to work in a high paced environment-Electronic and computer proficiency-Ability to maintain a neat, clean & professional appearance   Duties:-Ability to operate electronic registers and accurately count and reconcile cash and credit card transactions-Ability to pick up, carry and deliver food and beverage orders for the full duration of scheduled shift-Possess working knowledge of beverage and food menus Qualifications:-Possess a valid Jefferson County Department of Health Food Handler’s Card-Previous work experience involving customer service in a fast-paced environment is greatly desired-TIPS (Training for Intervention Procedures) Offered General Physical Requirements:-Ability to lift 25 lbs up to 50 lbs -Ability to stand for up to 8+ hours -Ability to work long hours, weekends & holidays-Ability to maintain the highest standards of food safety, food quality and cleanliness Company Description: The Birmingham Barons are the proud Double-A affiliate of the Chicago White Sox. For ticket information, game schedule, promotions calendar or for additional information about Regions Field, visit barons.com or call (205) 988-3200. We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
"Game Night Intern with Florida Everblades","Estero, FL","Marketing: Promotions","We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law. The Florida Everblades of the ECHL are in search of Game Night interns for the 2020-2021 season. This position provides an opportunity to create professional relationships and gain experience in professional sports. Interns will interact with players, coaches, staff and community partners throughout the entire season. Interns will report to the Game Experience Manager. Interns are expected to: - Organize and execute promotions- Attend majority, if not all, home games (36) - Set up and break down promotional tables and areas on the concourse pre-game - Set up and organize promotional giveaways for the night- Handle all on-ice promotions during intermissions- Work directly with the Game Night Manager to communicate with other staff members throughout the game- Come in for weekly office hours to assist in day-to-day planning and activities - Other duties as assigned by Game Experience ManagerSkills needed:- Strong written and verbal communication- Reliable transportation- Organized, problem-solver- Ability to complete tasks autonomously - Confidence in working in a high-pressure, fast-paced environment- Willingness to accept responsibilities as assignedPLEASE NOTE THIS IS AN UNPAID INTERNSHIP. WE WILL NOT PROVIDE HOUSING."
"Game Night Promotions Intern with Lehigh Valley Phantoms","Allentown, PA","Marketing: Game Operations/Presentation","
Location:                               PPL Center (Allentown, PA) 
Department:                        PhantomsVision
Number of Positions:       1
Start Date:                           AugustStatus:                                   Internship/Temporary
Type:                                      Non-Paid, Must be able to receive Credit
Hours Required:                 Approximately 40-45 events and game nights------------------------------------------------------------------------------------------------------------ The Phantoms Game Presentation Department is looking for a driven individual who has a positive attitude and a strong desire to learn and be part of the Phantoms culture. The Promotions Intern will have the opportunity to learn and assist in planning and producing a variety of elements to enhance the fan experience.  
Qualifications:                     *  Must be able to receive Academic Credit for internship*  Must be a college junior, senior, or graduate student pursuing a degree in Sports Marketing or Sports Management or closely related field (The internship is unpaid, and housing/transportation are the Intern’s responsibility)*  Mac proficient*  Must be a highly detail-oriented, self-motivated communicator who follows direction and functions well in a dynamic environment*  Experience managing multiple projects, adapting to changing schedules, finishing tasks quickly, and meeting deadlines*  Excellent written and verbal communication skills*  Ability to take direction and give direction.*  Must be available game nights throughout the whole 2018-2019 AHL Season (Including Playoffs)*  Basic understanding of sports and hockey is a plus Responsibilities include, but are not limited to the following:*  Work directly under the Creative Director on game nights*  Setup and breakdown of game day equipment*  Assist in the execution of game-night promotions and sponsor elements*  Help coordinate theme nights and other tasks deemed necessary*  Attend meetings on Game Nights and contribute to ideas and plans*  Manage part-time game night staff that are under the Game Presentation Department*  Assist the Director in leading and organizing the team and all aspects of the Game Night Presentation"
"Mudcats Seasonal Opportunities  with Milwaukee Brewers Baseball Club, LLC","Zebulon Â· NC","Facility Operations/Event Staff: Game Day/Event Staff","We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.Â "
"Suite Attendant with Birmingham Barons","Birmingham, AL","Food and Beverage: Food/Beverage Management","SUITE ATTENDANTJob Title: Suite AttendantReports To: Premium Services ManagerDepartment: Parkview CateringEmployee Type: SeasonalStatus Type: Part-TimeFLSA: Non-ExemptCompensation: Hourly rate plus tipsRate: $3.00/hourJob Summary:It is our goal to make our guests’ experience at Regions Field as pleasant and enjoyable as possible. To achieve this, our employees need to be professional, courteous, pleasant, reliable, dependable and well groomed. Our employees should be willing to go above and beyond to help make our guests feel welcome and always have a smile on their face. Essential Functions:We are looking for enthusiastic suite attendants to provide excellent customer service to our patrons.  A suite attendant assists with catered events on game-day in our Hospitality Suites. You will be working with some of our biggest clients in the stadium. Responsibilities: §  Excellent customer service while maintaining the highest standards of quality and cleanliness§  Strong communication and problem solving skills §  High attention to detail §  Ability to work in a high paced environment§  Electronic and computer proficiency§  Ability to maintain a neat, clean & professional appearance   Duties:§  Set up and break down suites§  Take, serve, and refill suite orders§  Maintain clean work environment§  Knowledge of Suite Menu§  Other duties as assigned Qualifications:§  Must be 21+ to serve alcohol §  TIPS (Training for Intervention Procedures) Required General Physical Requirements:§  Ability to lift 25 lbs up to 50 lbs §  Ability to stand for up to 5+ hours during a game §  Ability to work long hours, weekends & holidays§  Ability to work in adverse weather conditions, including but not limited to rain and heat§  Ability to maintain the highest standards of food safety, food quality and cleanliness Company Description: The Birmingham Barons are the proud Double-A affiliate of the Chicago White Sox. For ticket information, game schedule, promotions calendar or for additional information about Regions Field, visit barons.com or call (205) 988-3200. We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
"Picnic Server with Birmingham Barons","Birmingham, AL","Food and Beverage: Kitchen Staff/Dishwasher","PICNIC SERVER, GAME DAY Job Title: Picnic Server, Game DayReports To: Catering ManagerDepartment: Parkview CateringEmployee Type: SeasonalStatus Type: Part-TimeFLSA: Non-ExemptCompensation: Hourly rateRate Range: $8.50/hourJob Summary:It is our goal to make our guests’ experience at Regions Field as pleasant and enjoyable as possible. To achieve this, our employees need to be professional, courteous, pleasant, reliable, dependable and well groomed. Our employees should be willing to go above and beyond to help make our guests feel welcome and always have a smile on their face. Essential Functions:We are looking for enthusiastic picnic servers to provide excellent customer service to our patrons.  Responsibilities: §  Excellent customer service while maintaining the highest standards of quality and cleanliness§  Strong communication and problem solving skills §  High attention to detail §  Ability to work in a high paced environment§  Ability to maintain a neat, clean & professional appearance   Duties:·         Providing excellent customer service while maintaining the highest standards of quality and cleanliness·         Stocking, replenishing and cleaning up buffet lines and drink coolers in a timely and efficient manner·         Properly polishing, putting away and/or disposing of left over product and washing dishes·         Serving plated meals, setting tables and resetting rooms for upcoming events·         Control and record inventory usage at private events·         Assisting in other areas as needed Qualifications:§  Valid Jefferson County Department of Health Food Handlers card required General Physical Requirements:§  Ability to lift 25lbs up to 50lbs §  Ability to stand for up to 5+ hours during a game §  Ability to work long hours, nights, weekends & holidays§  Ability to work in adverse weather conditions, including but not limited to rain and heat§  Ability to maintain the highest standards of food safety, food quality and cleanliness Company Description: The Birmingham Barons are the proud Double-A affiliate of the Chicago White Sox. For ticket information, game schedule, promotions calendar or for additional information about Regions Field, visit barons.com or call (205) 988-3200. We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
"Mascot with Birmingham Barons","Birmingham, AL","Facility Operations/Event Staff: Uniforms","
MASCOTJob Title: MascotReports To: Marketing & Promotions CoordinatorDepartment: MarketingEmployee Type: SeasonalStatus Type: Part-TimeFLSA: Non-ExemptCompensation: Hourly Rate Range: $7.25/hour Job Summary:It is our goal to make our guests’ experience at Regions Field as pleasant and enjoyable as possible. To achieve this, our employees need to be professional, courteous, pleasant, reliable, dependable and well groomed. Our employees should be willing to go above and beyond to help make our guests feel welcome and always have a smile on their face. Essential Functions:We are looking for enthusiastic mascots to perform in front of large crowds at home games.  A mascot brings energy and enthusiasm to the fan experience. The ideal candidate will be a strong performer and highly charismatic. Responsibilities: §  Excellent customer service while maintaining the highest standards of quality and cleanliness§  Strong communication and problem solving skills §  High attention to detail §  Ability to work in a high paced environment§  Electronic and computer proficiency§  Ability to maintain a neat, clean & professional appearance   Duties:§  Perform as mascot at home games§  Perform as mascot in community events around the Birmingham region as scheduled§  Maintain mascot costume§  Assist in creating routines for promotional entertainment§  Distribute promotional items designed to help increase fan spirit and attendance at games§  Personally interact with fans and patrons you encounter§  Perform on the dugout during the 7th inning stretch§  Interact with fans before, during and after the games Qualifications:§  Previous acting, entertainment, promotions or mascot experience preferred§  Previous experience in cheerleading, fitness, gymnastics, aerobics, dance or mascot General Physical Requirements:§  Ability to lift and maintain 25lbs up to 50lbs §  Ability to stand for up to 5+ hours during a game §  Ability to work long hours, weekends & holidays§  Ability to work in adverse weather conditions, including but not limited to rain and heat Company Description: The Birmingham Barons are the proud Double-A affiliate of the Chicago White Sox. For ticket information, game schedule, promotions calendar or for additional information about Regions Field, visit barons.com or call (205) 988-3200. We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
"Concessions Cook with Birmingham Barons","Birmingham, AL","Food and Beverage: Kitchen Staff/Dishwasher","CONCESSIONS COOKJob Title: Concessions CookReports To: Executive ChefDepartment: Parkview Employee Type: SeasonalStatus Type: Part-TimeFLSA: Non-ExemptCompensation: Hourly rate Rate Range: $7.25 - $9.00/hour
Job Summary:It is our goal to make our guests’ experience at Regions Field as pleasant and enjoyable as possible. To achieve this, our employees need to be professional, courteous, pleasant, reliable, dependable and well groomed. Our employees should be willing to go above and beyond to help make our guests feel welcome and always have a smile on their face. Essential Functions:We are looking for enthusiastic Concessions Cooks to provide excellent food service to our patrons.  A Concessions Cook cleans food preparation equipment, work areas, and counters or tables.  They also grill, cook, and fry foods while at times taking orders from customers.  The ideal candidate will have experience cooking foods requiring short preparation times and in accordance to customer requirements.  Responsibilities: §  Excellent customer service while maintaining the highest standards of quality and cleanliness§  Strong communication and problem solving skills §  High attention to detail §  Ability to work in a high paced environment§  Electronic and computer proficiency§  Ability to maintain a neat, clean & professional appearance   Duties:§  Daily preparation of food for concession and other events§  Clean grills, and production equipment and area at the end of each shift Qualifications:§  Previous kitchen experience is required General Physical Requirements:§  Ability to lift 25 lbs up to 50 lbs §  Ability to stand for up to 5+ hours during a game §  Ability to work long hours, weekends & holidays§  Ability to work in adverse weather conditions, including but not limited to rain and heat§  Ability to work in adverse work conditions, including but not limited to a hot kitchen§  Ability to maintain the highest standards of food safety, food quality and cleanliness Company Description: The Birmingham Barons are the proud Double-A affiliate of the Chicago White Sox. For ticket information, game schedule, promotions calendar or for additional information about Regions Field, visit barons.com or call (205) 988-3200. We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
